doc_id,success,processing_time,error_message,device_used,confidence_score,wer,cer,word_accuracy,char_accuracy
0012529284,True,8.595761775970459,,cpu,0.9839088313281537,0.7798165137614679,0.6485106382978724,0.22018348623853212,0.35148936170212763
82504862,True,5.275555610656738,,cpu,0.9897184738746057,1.0,0.7432432432432432,0.0,0.2567567567567568
82200067_0069,True,7.132498264312744,,cpu,0.9677275092371048,0.688622754491018,0.5652694610778443,0.31137724550898205,0.43473053892215574
01122115,True,9.806857347488403,,cpu,0.9710987826411643,0.8687943262411347,0.6890021849963583,0.13120567375886527,0.31099781500364165
11875011,True,7.734776258468628,,cpu,0.9887339783751447,0.1864406779661017,0.17050298380221654,0.8135593220338984,0.8294970161977835
91391310,True,6.12421989440918,,cpu,0.9922504883546096,0.5568181818181818,0.4267515923566879,0.44318181818181823,0.5732484076433121
0000990274,True,6.395811080932617,,cpu,0.9538651974428267,0.4772727272727273,0.33670520231213874,0.5227272727272727,0.6632947976878613
86236474_6476,True,6.107986211776733,,cpu,0.9886564592520396,0.19491525423728814,0.08575031525851198,0.8050847457627118,0.914249684741488
82250337_0338,True,7.790684223175049,,cpu,0.9872181110603865,0.2897196261682243,0.15915915915915915,0.7102803738317758,0.8408408408408409
92094751,True,7.944170713424683,,cpu,0.9777456436838422,0.5515463917525774,0.46074201898188094,0.44845360824742264,0.5392579810181191
0060068489,True,9.265760898590088,,cpu,0.979290305665045,0.5466666666666666,0.4965753424657534,0.45333333333333337,0.5034246575342466
0001239897,True,7.386754989624023,,cpu,0.9412698632194882,0.9699248120300752,0.7741116751269036,0.03007518796992481,0.2258883248730964
0060173256,True,5.090152263641357,,cpu,0.9840117761066982,0.9032258064516129,0.7551487414187643,0.09677419354838712,0.2448512585812357
00837285,True,9.958497762680054,,cpu,0.9727843239389616,0.547085201793722,0.4301566579634465,0.452914798206278,0.5698433420365535
89386032,True,6.255272150039673,,cpu,0.9717825365066528,0.32608695652173914,0.2795031055900621,0.6739130434782609,0.7204968944099379
71206427,True,5.4505369663238525,,cpu,0.9550946559756994,0.45901639344262296,0.38144329896907214,0.540983606557377,0.6185567010309279
91104867,True,7.27461838722229,,cpu,0.9902883689193165,1.0,0.8991452991452992,0.0,0.10085470085470083
716552,True,9.32381796836853,,cpu,0.9700385756790638,0.5342465753424658,0.44659442724458204,0.4657534246575342,0.5534055727554179
86244113,True,5.456323862075806,,cpu,0.9896365880966187,0.325,0.29338842975206614,0.675,0.7066115702479339
86079776_9777,True,6.996324300765991,,cpu,0.9825924064250703,0.45714285714285713,0.467581998474447,0.5428571428571429,0.5324180015255531
87125460,True,5.154767751693726,,cpu,0.960881693796678,0.3611111111111111,0.2534246575342466,0.6388888888888888,0.7465753424657534
91903177,True,5.723056316375732,,cpu,0.9834551183800948,0.4811320754716981,0.3150684931506849,0.5188679245283019,0.6849315068493151
00836244,True,8.928535461425781,,cpu,0.9684160157390262,0.8121546961325967,0.6291666666666667,0.18784530386740328,0.37083333333333335
0060091229,True,5.490689992904663,,cpu,0.9802795229134736,0.24242424242424243,0.08169934640522876,0.7575757575757576,0.9183006535947712
92327794,True,5.022425651550293,,cpu,0.9846275234222412,0.33766233766233766,0.18080357142857142,0.6623376623376623,0.8191964285714286
87086073,True,5.098554372787476,,cpu,0.9374065490869375,0.5892857142857143,0.5247252747252747,0.4107142857142857,0.47527472527472525
80707440_7443,True,6.988394260406494,,cpu,0.9860485695129217,0.2681564245810056,0.2216699801192843,0.7318435754189945,0.7783300198807157
0060036622,True,6.685535669326782,,cpu,0.9785116457420847,0.4,0.19833729216152018,0.6,0.8016627078384798
12825369,True,7.361353397369385,,cpu,0.9897083918253581,0.4195121951219512,0.3309748427672956,0.5804878048780489,0.6690251572327044
71190280,True,6.01372218132019,,cpu,0.9325335432843465,0.8333333333333334,0.6557734204793029,0.16666666666666663,0.34422657952069713
01191071_1072,True,5.532707929611206,,cpu,0.9828150457349317,0.6,0.5303430079155673,0.4,0.4696569920844327
0060029036,True,6.854347467422485,,cpu,0.9803118258714676,0.5985401459854015,0.5412186379928315,0.4014598540145985,0.45878136200716846
91974562,True,6.053186416625977,,cpu,0.9848022863268853,0.3925233644859813,0.250384024577573,0.6074766355140186,0.749615975422427
82251504,True,7.210691928863525,,cpu,0.9727743769233878,0.42342342342342343,0.20090293453724606,0.5765765765765766,0.7990970654627539
82253362_3364,True,10.030134916305542,,cpu,0.9865722885089261,0.7324561403508771,0.5476973684210527,0.26754385964912286,0.45230263157894735
93106788,True,9.69258451461792,,cpu,0.9706692224118247,0.5530546623794212,0.4673469387755102,0.44694533762057875,0.5326530612244897
0001463448,True,7.517754077911377,,cpu,0.9490430376746438,0.5454545454545454,0.2236842105263158,0.4545454545454546,0.7763157894736842
93455715,True,6.052919864654541,,cpu,0.9658887260838559,0.5104895104895105,0.3237139272271016,0.4895104895104895,0.6762860727728983
12052385,True,4.739711761474609,,cpu,0.9890626533464952,0.6363636363636364,0.5846153846153846,0.36363636363636365,0.41538461538461535
82253245_3247,True,9.032594680786133,,cpu,0.9776603994490225,0.43162393162393164,0.2739097169089518,0.5683760683760684,0.7260902830910483
71202511,True,8.620766639709473,,cpu,0.9715014191234813,0.6056338028169014,0.4827586206896552,0.3943661971830986,0.5172413793103448
00866042,True,8.235738515853882,,cpu,0.9816659322806767,0.6217616580310881,0.5811011904761905,0.37823834196891193,0.41889880952380953
0001485288,True,6.1160194873809814,,cpu,0.9826379277204212,0.4,0.25170068027210885,0.6,0.7482993197278911
0001456787,True,9.182640075683594,,cpu,0.9583054184913635,0.8622754491017964,0.5840336134453782,0.13772455089820357,0.4159663865546218
00838511_00838525,True,5.1407129764556885,,cpu,0.9596275568008423,0.36065573770491804,0.24561403508771928,0.639344262295082,0.7543859649122807
92657311_7313,True,6.06820821762085,,cpu,0.9627550010170255,0.5420560747663551,0.365625,0.4579439252336449,0.634375
0000971160,True,6.287074089050293,,cpu,0.9895030068499702,0.2896551724137931,0.13807531380753138,0.7103448275862069,0.8619246861924686
71366499,True,5.308643579483032,,cpu,0.9404714025300125,0.7464788732394366,0.6788511749347258,0.2535211267605634,0.3211488250652742
81619486_9488,True,7.823101997375488,,cpu,0.9794155368164404,0.538961038961039,0.4320855614973262,0.461038961038961,0.5679144385026738
82092117,True,6.93925929069519,,cpu,0.9758783289364406,0.3452914798206278,0.20297397769516728,0.6547085201793722,0.7970260223048327
82253058_3059,True,7.73829197883606,,cpu,0.9744900548180868,0.3689839572192513,0.22639933166248954,0.6310160427807487,0.7736006683375105
80718412_8413,True,5.910720109939575,,cpu,0.9695175155997277,0.5421686746987951,0.40594059405940597,0.45783132530120485,0.594059405940594
91161344_91161347,True,12.808793544769287,,cpu,0.9417160131974135,0.8385826771653543,0.6875881523272215,0.16141732283464572,0.3124118476727785
01197604,True,5.670458793640137,,cpu,0.9048668146133423,0.6421052631578947,0.36930860033726814,0.35789473684210527,0.6306913996627319
660978,True,5.466503620147705,,cpu,0.9780994296073914,0.5849056603773585,0.5316045380875203,0.41509433962264153,0.4683954619124797
71341634,True,9.71507740020752,,cpu,0.9583154164471672,0.9876543209876543,0.8313338038108681,0.012345679012345734,0.16866619618913192
83553333_3334,True,8.054385423660278,,cpu,0.970470733443896,0.7401960784313726,0.5028432168968319,0.2598039215686274,0.49715678310316813
00920294,True,5.304645776748657,,cpu,0.9719803890874309,0.717391304347826,0.6365461847389559,0.28260869565217395,0.36345381526104414
0060262650,True,9.07920503616333,,cpu,0.9521539830244504,0.6266666666666667,0.5116580310880829,0.3733333333333333,0.48834196891191706
0060302201,True,7.304571628570557,,cpu,0.8987041849356431,0.40476190476190477,0.2103386809269162,0.5952380952380952,0.7896613190730838
87528380,True,11.48242974281311,,cpu,0.9628916660944621,0.6423357664233577,0.546284224250326,0.35766423357664234,0.45371577574967403
0012529295,True,9.12036681175232,,cpu,0.9612128224637774,0.7992125984251969,0.6117729502452698,0.20078740157480313,0.3882270497547302
87672097,True,8.601702690124512,,cpu,0.9547010365920731,0.6504854368932039,0.4388888888888889,0.3495145631067961,0.5611111111111111
91356315,True,6.062922239303589,,cpu,0.9875470142106753,0.58,0.35353535353535354,0.42000000000000004,0.6464646464646464
0011976929,True,5.367078065872192,,cpu,0.9860457207845605,0.425,0.278372591006424,0.575,0.721627408993576
80728670,True,5.664197683334351,,cpu,0.9829013921596386,0.36134453781512604,0.20144927536231885,0.6386554621848739,0.7985507246376812
91372360,True,6.4134202003479,,cpu,0.9741499666124582,0.41911764705882354,0.3178294573643411,0.5808823529411764,0.6821705426356589
0011505151,True,6.10622239112854,,cpu,0.986933407395385,0.7419354838709677,0.5576923076923077,0.25806451612903225,0.4423076923076923
