doc_id,success,processing_time,error_message,device_used,confidence_score,wer,cer,word_accuracy,char_accuracy
82504862,True,27.69533920288086,,cpu,0.785777955117677,0.9365079365079365,0.7342342342342343,0.06349206349206349,0.2657657657657657
86236474_6476,True,30.791982412338257,,cpu,0.7903700052763706,0.3559322033898305,0.11601513240857503,0.6440677966101696,0.883984867591425
91391310,True,31.205232858657837,,cpu,0.8209609566947755,0.6590909090909091,0.4315286624203822,0.34090909090909094,0.5684713375796178
0000990274,True,33.950828552246094,,cpu,0.582526145686497,0.7878787878787878,0.48265895953757226,0.21212121212121215,0.5173410404624277
82200067_0069,True,34.089030265808105,,cpu,0.5613376583158592,0.7724550898203593,0.6071856287425149,0.22754491017964074,0.3928143712574851
11875011,True,37.61233186721802,,cpu,0.7976446441383204,0.288135593220339,0.1875532821824382,0.711864406779661,0.8124467178175618
0012529284,True,39.36745595932007,,cpu,0.826210307952773,0.8807339449541285,0.6672340425531915,0.11926605504587151,0.3327659574468085
01122115,True,42.386651277542114,,cpu,0.8284446895559358,0.8936170212765957,0.6788055353241078,0.1063829787234043,0.3211944646758922
82250337_0338,True,16.019264221191406,,cpu,0.6219626265882096,0.7429906542056075,0.29429429429429427,0.2570093457943925,0.7057057057057057
92094751,True,13.868571043014526,,cpu,0.6215782246143235,0.865979381443299,0.5841242450388265,0.134020618556701,0.41587575496117346
